coverage_stratum,ticker,company,cik,fiscal_year,peo_name,incentive_target_payout_pct,payout_metric_type,time_vested_retention_flag,retention_amt_usd,target_summary,featured_metric_period,featured_value_basis,source_locator,source_accession,source_form,source_document,source_filed,verification_status,verification_note
S&P 100 Layer A,AAPL,Apple,0000320193,2025,Mr. Cook,200,annual_cash_bonus_actual,FALSE,,"Net sales and operating income exceeded the maximum goals; the committee awarded Tim Cook the maximum cash incentive payout, 200% of target.",FY2025,reported,"CD&A, Cash Incentive Plan, pp. 44-46",0001308179-26-000008,DEF 14A,aapl014016-def14a.htm,2026-01-08,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,ADBE,Adobe,0000796343,2025,Shantanu Narayen,83,LTI_PSU_actual,FALSE,,The 2023 Performance Share Program paid 83% of target. Relative TSR fell short of the 55th-percentile goal; the net new sales components were near target.,2023-2025,reported,"CD&A, 2023 PSP Overall Payout Percentage",0000796343-26-000043,DEF 14A,adbe-20260227.htm,2026-02-27,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,AMD,Advanced Micro Devices,0000002488,2025,Lisa Su,121,annual_cash_bonus_actual,FALSE,,The Executive Incentive Plan paid Lisa Su 121% of target for 2025 performance.,FY2025,reported,"CD&A, Executive Incentive Plan",0001193125-26-129057,DEF 14A,d85856ddef14a.htm,2026-03-27,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,AMT,American Tower,0001053507,2025,Steven Vondran,157,LTI_PSU_actual,FALSE,,"The 2023 PSU award paid 157% of target after cumulative attributable AFFO per share and average ROIC paid 153% and 166%, respectively.",2023-2025,reported,"CD&A, Results of 2023 PSU Award, pp. 56-57",0001053507-26-000088,DEF 14A,amt-20260406.htm,2026-04-08,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,AVGO,Broadcom,0001730168,2025,Hock E. Tan,0,annual_cash_bonus_actual,FALSE,,Hock Tan received no annual cash incentive payout because the 2023 front-loaded PSU award covered five years of annual short-term and equity awards.,FY2025,reported,"CD&A, Fiscal 2025 Total Compensation Components, p. 29",0001193125-26-085691,DEF 14A,d49254ddef14a.htm,2026-03-02,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,AXP,AMERICAN EXPRESS CO,0000004962,2025,Stephen Squeri,181.25,annual_cash_bonus_actual,FALSE,,Derived from the reported 145% company multiplier and 125% Stephen Squeri individual multiplier: 1.45 times 1.25 equals 181.25% of target.,FY2025,derived,"CD&A, 2025 Performance Multiplier, pp. 55 and 63-64",0001104659-26-034163,DEF 14A,tm2519434-8_def14a.htm,2026-03-25,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,BKNG,Booking Holdings Inc.,0001075531,2025,Glenn Fogel,162,annual_cash_bonus_actual,FALSE,,The committee funded the named executive officer bonus pool at 1.62 times target and paid Glenn Fogel approximately 162% of target.,FY2025,reported,"CD&A, 2025 Bonus Plan",0001308179-26-000310,DEF 14A,bkng-20260420.htm,2026-04-21,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,BNY,BNY Mellon,0001390777,2025,Robin Vince,147.5,LTI_PSU_actual,FALSE,,"The 2023-2025 PSU award earned 147.5% of target, capped at 150%, based on adjusted ROTCE and relative TSR.",2023-2025,reported,"CD&A, 2023-2025 PSU Earnout",0001193125-26-092500,DEF 14A,d52987ddef14a.htm,2026-03-05,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,C,Citigroup,0000831001,2025,Jane Fraser,,discretionary_incentive_dollars,FALSE,,"The committee set Jane Fraser's 2025 incentive compensation at $40.5 million after considering operational results, leadership, TSR and market benchmarking; no formulaic percentage was disclosed.",FY2025,not_applicable,"CD&A, CEO Annual Compensation",0001206774-26-000185,DEF 14A,citi4583461-def14a.htm,2026-04-02,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
S&P 100 Layer A,COF,Capital One,0000927628,2025,Mr. Fairbank,,discretionary_performance_year_award,FALSE,,"Richard Fairbank's performance-year compensation was approximately $40 million, excluding the separate Discover-related special award; no common payout percentage was disclosed.",FY2025,not_applicable,"CD&A, CEO Compensation by Performance Year, pp. 68-69",0001193125-26-124131,DEF 14A,d701179ddef14a.htm,2026-03-25,PRIMARY_VERIFIED,Checked against the exact SEC filing identified by accession and primary document
